"","...1","...2","duration..ms.","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","spec_rate","labels"
"131",90849,0.4947686,0.05802279,0.7199191,0.631,0.846263,0.1264249,0.1907631,0,0.106,0.2994975,0.3388305,0.009485473,1
"132",104621,0.5642054,0.05819713,0.3690597,0.403,0.7374263,0.1202073,0.1335341,0.187,0.113,0.6271357,0.3473962,0.008992794,0
"133",46581,0.2717784,0.05819713,0.9413549,0.43,0.8220667,0.05834197,0.1556225,0.0421,0.296,0.9718593,0.423661,0.004364606,1
"134",78957,0.4382088,0.07879973,0.6006067,0.941,0.9009541,0.09046632,0.08905622,0.00119,0.126,0.3969849,0.4450328,0.005039267,1
"135",165745,0.8770688,0.07743166,0.5631951,0.17,0.6632316,0.04062176,0.8594378,8.96e-06,0.0724,0.440201,0.4813161,0.002301803,0
"136",106207,0.5701672,0.05340776,0.6258847,0.639,0.8421783,0.04145078,0.0497992,0,0.159,0.8160804,0.7371505,0.003369663,1
"137",24036,0.1440296,0.08324876,0.5096057,0.45,0.7352437,0.02974093,0.8363454,0.143,0.111,0.6532663,0.411736,0.00157007,0
"138",15369,0.09060719,0.05402617,0.7573306,0.573,0.7926008,0.02766839,0.563253,0.216,0.111,0.7718593,0.4663665,0.002224363,0
"139",44547,0.2575665,0.07089826,0.6845298,0.479,0.8005519,0.04082902,0.6074297,0.806,0.0969,0.958794,0.4955414,0.00252128,0
"140",186600,0.9854751,0.06353958,0.7350859,0.974,0.9001746,0.06880829,0.1034137,0.000532,0.174,0.9698492,0.3368904,0.004727126,1
"141",631,0.00291074204133326,0.0579746817140089,0.908998988877654,0.574,0.780362321100059,0.0816580310880829,0.00118473895582329,0.000345,0.0567,0.917587939698493,0.58864944780754,0.0061316076283479,1
"142",85363,0.4693922,0.07740941,0.7451972,0.727,0.8116835,0.05305699,0.3052209,0.752,0.119,0.3738693,0.4066695,0.00300728,1
"143",56390,0.3188252,0.07463266,0.6916077,0.606,0.8221134,0.05222798,0.1706827,0,0.058,0.7266332,0.5418179,0.003067745,1
